deadhead_id,service_id,block_id,shape_id,to_trip_id,from_trip_id,to_deadhead_id,from_deadhead_id
55723001,SpgSnd,B800-5,,,55721819,,
55591363,MmlD,B800-5,,55590289,,,
55591494,MmlD,B800-5,,,55590312,,
55714364,LRV223-hlb23011-Wdy-01,B800-50,,55713854,,,
55714352,LRV223-hlb23011-Wdy-01,B800-50,,,55713863,,
55714074,LRV223-hlb23011-Wdy-01,B800-51,,55713717,,,
55714092,LRV223-hlb23011-Wdy-01,B800-51,,,55713813,,
55714365,LRV223-hlb23011-Wdy-01,B800-52,,55713853,,,
55714379,LRV223-hlb23011-Wdy-01,B800-52,,,55713845,,
55714709,LRV223-hlb23011-Wdy-01,B800-53,,55713558,,,
55714710,LRV223-hlb23011-Wdy-01,B800-53,,,55713914,,
55714069,LRV223-hlb23011-Wdy-01,B800-54,,55713972,,,
55714083,LRV223-hlb23011-Wdy-01,B800-54,,,55713792,,
55714075,LRV223-hlb23011-Wdy-01,B800-55,,55713718,,,
55714078,LRV223-hlb23011-Wdy-01,B800-55,,,55713816,,
55714728,LRV223-hlb23011-Wdy-01,B800-56,,55713719,,,
55714094,LRV223-hlb23011-Wdy-01,B800-56,,,55713817,,
55714729,LRV223-hlb23011-Wdy-01,B800-57,,55713720,,,
55714077,LRV223-hlb23011-Wdy-01,B800-57,,,55713818,,
55714629,LRV223-hlb23011-Wdy-01,B800-58,,55713607,,,
55714630,LRV223-hlb23011-Wdy-01,B800-58,,,55714589,,
55714366,LRV223-hlb23011-Wdy-01,B800-59,,55713852,,,
55714353,LRV223-hlb23011-Wdy-01,B800-59,,,55713864,,
55714633,LRV223-hlb23011-Wdy-01,B800-6,,55713612,,,
55714634,LRV223-hlb23011-Wdy-01,B800-6,,,55714393,,
55720338,SpgStd,B800-6,,55720104,,,
55720363,SpgStd,B800-6,,,55720096,,
55722825,SpgSnd,B800-6,,55721979,,,
55722848,SpgSnd,B800-6,,,55721990,,
55591318,MmlD,B800-6,,55590472,,,
55591341,MmlD,B800-6,,,55590483,,
55714706,LRV223-hlb23011-Wdy-01,B800-60,,55714677,,,
55714716,LRV223-hlb23011-Wdy-01,B800-60,,,55713678,,
55714727,LRV223-hlb23011-Wdy-01,B800-61,,55713976,,,
55714730,LRV223-hlb23011-Wdy-01,B800-61,,,55713820,,
55714637,LRV223-hlb23011-Wdy-01,B800-62,,55714398,,,
55714638,LRV223-hlb23011-Wdy-01,B800-62,,,55714387,,
55714367,LRV223-hlb23011-Wdy-01,B800-63,,55713851,,,
55714380,LRV223-hlb23011-Wdy-01,B800-63,,,55714116,,
55714698,LRV223-hlb23011-Wdy-01,B800-64,,55713537,,,
55714723,LRV223-hlb23011-Wdy-01,B800-64,,,55713687,,
55714071,LRV223-hlb23011-Wdy-01,B800-65,,55713987,,,
55714082,LRV223-hlb23011-Wdy-01,B800-65,,,55714044,,
55714707,LRV223-hlb23011-Wdy-01,B800-7,,55714680,,,
55714715,LRV223-hlb23011-Wdy-01,B800-7,,,55713934,,
55720859,SpgStd,B800-7,,55720862,,,
55721110,SpgStd,B800-7,,,55721101,,
55722850,SpgSnd,B800-7,,55721771,,,
55722853,SpgSnd,B800-7,,,55722989,,
55591343,MmlD,B800-7,,55590264,,,
55591346,MmlD,B800-7,,,55591482,,
55714369,LRV223-hlb23011-Wdy-01,B800-8,,55713849,,,
55714382,LRV223-hlb23011-Wdy-01,B800-8,,,55714098,,
55721361,SpgStd,B800-8,,55719894,,,
55721485,SpgStd,B800-8,,,55720093,,
55722111,SpgSnd,B800-8,,55721967,,,
55722112,SpgSnd,B800-8,,,55722092,,
55590604,MmlD,B800-8,,55590460,,,
55590605,MmlD,B800-8,,,55590585,,
55714641,LRV223-hlb23011-Wdy-01,B800-9,,55714456,,,
55714642,LRV223-hlb23011-Wdy-01,B800-9,,,55713610,,
55721136,SpgStd,B800-9,,55719927,,,
55721335,SpgStd,B800-9,,,55721332,,
55722826,SpgSnd,B800-9,,55721981,,,
55722842,SpgSnd,B800-9,,,55722620,,
55591319,MmlD,B800-9,,55590474,,,
55591335,MmlD,B800-9,,,55591113,,
55715870,LRV223-hlb23011-Wdy-01,B800t-100,,,,,
55715903,LRV223-hlb23011-Wdy-01,B800t-100,,,,,
55715918,LRV223-hlb23011-Wdy-01,B800t-101,,,,,
55715936,LRV223-hlb23011-Wdy-01,B800t-101,,,,,
55715691,LRV223-hlb23011-Wdy-01,B800t-102,,,,,
55715809,LRV223-hlb23011-Wdy-01,B800t-102,,,,,
55715869,LRV223-hlb23011-Wdy-01,B800t-103,,,,,
55715882,LRV223-hlb23011-Wdy-01,B800t-103,,,,,
55715941,LRV223-hlb23011-Wdy-01,B800t-104,,,,,
55715940,LRV223-hlb23011-Wdy-01,B800t-104,,,,,
55715692,LRV223-hlb23011-Wdy-01,B800t-105,,,,,
55715859,LRV223-hlb23011-Wdy-01,B800t-105,,,,,
55715883,LRV223-hlb23011-Wdy-01,B800t-106,,,,,
55715875,LRV223-hlb23011-Wdy-01,B800t-106,,,,,
55715393,LRV223-hlb23011-Wdy-01,B800t-107,,,,,
55715410,LRV223-hlb23011-Wdy-01,B800t-107,,,,,
55715693,LRV223-hlb23011-Wdy-01,B800t-108,,,,,
55715860,LRV223-hlb23011-Wdy-01,B800t-108,,,,,
55715878,LRV223-hlb23011-Wdy-01,B800t-109,,,,,
55715879,LRV223-hlb23011-Wdy-01,B800t-109,,,,,
55715927,LRV223-hlb23011-Wdy-01,B800t-110,,,,,
55715919,LRV223-hlb23011-Wdy-01,B800t-110,,,,,
55715694,LRV223-hlb23011-Wdy-01,B800t-111,,,,,
55715861,LRV223-hlb23011-Wdy-01,B800t-111,,,,,
55715881,LRV223-hlb23011-Wdy-01,B800t-112,,,,,
55714793,LRV223-hlb23011-Wdy-01,B800t-112,,,,,
55715427,LRV223-hlb23011-Wdy-01,B800t-113,,,,,
55715444,LRV223-hlb23011-Wdy-01,B800t-113,,,,,
55715695,LRV223-hlb23011-Wdy-01,B800t-114,,,,,
55715862,LRV223-hlb23011-Wdy-01,B800t-114,,,,,
55715696,LRV223-hlb23011-Wdy-01,B800t-115,,,,,
55715863,LRV223-hlb23011-Wdy-01,B800t-115,,,,,
55715445,LRV223-hlb23011-Wdy-01,B800t-116,,,,,
55715462,LRV223-hlb23011-Wdy-01,B800t-116,,,,,
55715697,LRV223-hlb23011-Wdy-01,B800t-117,,,,,
55715679,LRV223-hlb23011-Wdy-01,B800t-117,,,,,
55714749,LRV223-hlb23011-Wdy-01,B800t-118,,,,,
55714754,LRV223-hlb23011-Wdy-01,B800t-118,,,,,
55715925,LRV223-hlb23011-Wdy-01,B800t-119,,,,,
55715928,LRV223-hlb23011-Wdy-01,B800t-119,,,,,
55715477,LRV223-hlb23011-Wdy-01,B800t-120,,,,,
55715942,LRV223-hlb23011-Wdy-01,B800t-120,,,,,
55715493,LRV223-hlb23011-Wdy-01,B800t-121,,,,,
55715508,LRV223-hlb23011-Wdy-01,B800t-121,,,,,
55715509,LRV223-hlb23011-Wdy-01,B800t-122,,,,,
55715926,LRV223-hlb23011-Wdy-01,B800t-122,,,,,
55715893,LRV223-hlb23011-Wdy-01,B800t-123,,,,,
55715898,LRV223-hlb23011-Wdy-01,B800t-123,,,,,
55715698,LRV223-hlb23011-Wdy-01,B800t-124,,,,,
55715864,LRV223-hlb23011-Wdy-01,B800t-124,,,,,
55715876,LRV223-hlb23011-Wdy-01,B800t-125,,,,,
55715877,LRV223-hlb23011-Wdy-01,B800t-125,,,,,
55715916,LRV223-hlb23011-Wdy-01,B800t-126,,,,,
55715538,LRV223-hlb23011-Wdy-01,B800t-126,,,,,
55715890,LRV223-hlb23011-Wdy-01,B800t-127,,,,,
55715901,LRV223-hlb23011-Wdy-01,B800t-127,,,,,
55715699,LRV223-hlb23011-Wdy-01,B800t-128,,,,,
55715682,LRV223-hlb23011-Wdy-01,B800t-128,,,,,
55715867,LRV223-hlb23011-Wdy-01,B800t-129,,,,,
55715868,LRV223-hlb23011-Wdy-01,B800t-129,,,,,
55715929,LRV223-hlb23011-Wdy-01,B800t-130,,,,,
55715939,LRV223-hlb23011-Wdy-01,B800t-130,,,,,
55723132,SpgSnd,B800t-46,,,,,
55723390,SpgSnd,B800t-46,,,,,
55591625,MmlD,B800t-46,,,,,
55591883,MmlD,B800t-46,,,,,
55723135,SpgSnd,B800t-47,,,,,
55723391,SpgSnd,B800t-47,,,,,
55591628,MmlD,B800t-47,,,,,
55591884,MmlD,B800t-47,,,,,
55723141,SpgSnd,B800t-48,,,,,
55723386,SpgSnd,B800t-48,,,,,
55591634,MmlD,B800t-48,,,,,
55591879,MmlD,B800t-48,,,,,
55723147,SpgSnd,B800t-49,,,,,
55723370,SpgSnd,B800t-49,,,,,
55591640,MmlD,B800t-49,,,,,
55591863,MmlD,B800t-49,,,,,
55721505,SpgStd,B800t-50,,,,,
55721767,SpgStd,B800t-50,,,,,
55723393,SpgSnd,B800t-50,,,,,
55723406,SpgSnd,B800t-50,,,,,
55591886,MmlD,B800t-50,,,,,
55591899,MmlD,B800t-50,,,,,
55721120,SpgStd,B800t-51,,,,,
55721354,SpgStd,B800t-51,,,,,
55723016,SpgSnd,B800t-51,,,,,
55723017,SpgSnd,B800t-51,,,,,
55591509,MmlD,B800t-51,,,,,
55591510,MmlD,B800t-51,,,,,
55721501,SpgStd,B800t-52,,,,,
55721502,SpgStd,B800t-52,,,,,
55722234,SpgSnd,B800t-52,,,,,
55722235,SpgSnd,B800t-52,,,,,
55590727,MmlD,B800t-52,,,,,
55590728,MmlD,B800t-52,,,,,
55720540,SpgStd,B800t-53,,,,,
55720568,SpgStd,B800t-53,,,,,
55723154,SpgSnd,B800t-53,,,,,
55723389,SpgSnd,B800t-53,,,,,
55591647,MmlD,B800t-53,,,,,
55591882,MmlD,B800t-53,,,,,
55721511,SpgStd,B800t-54,,,,,
55721766,SpgStd,B800t-54,,,,,
55723392,SpgSnd,B800t-54,,,,,
55723398,SpgSnd,B800t-54,,,,,
55591885,MmlD,B800t-54,,,,,
55591891,MmlD,B800t-54,,,,,
55721126,SpgStd,B800t-55,,,,,
55721355,SpgStd,B800t-55,,,,,
55723012,SpgSnd,B800t-55,,,,,
55723013,SpgSnd,B800t-55,,,,,
55591505,MmlD,B800t-55,,,,,
55591506,MmlD,B800t-55,,,,,
55720552,SpgStd,B800t-56,,,,,
55720542,SpgStd,B800t-56,,,,,
55722253,SpgSnd,B800t-56,,,,,
55722254,SpgSnd,B800t-56,,,,,
55590746,MmlD,B800t-56,,,,,
55590747,MmlD,B800t-56,,,,,
55721370,SpgStd,B800t-57,,,,,
55721503,SpgStd,B800t-57,,,,,
55723002,SpgSnd,B800t-57,,,,,
55723003,SpgSnd,B800t-57,,,,,
55591495,MmlD,B800t-57,,,,,
55591496,MmlD,B800t-57,,,,,
55721514,SpgStd,B800t-58,,,,,
55721764,SpgStd,B800t-58,,,,,
55723160,SpgSnd,B800t-58,,,,,
55723374,SpgSnd,B800t-58,,,,,
55591653,MmlD,B800t-58,,,,,
55591867,MmlD,B800t-58,,,,,
55721125,SpgStd,B800t-59,,,,,
55721356,SpgStd,B800t-59,,,,,
55722851,SpgSnd,B800t-59,,,,,
55722860,SpgSnd,B800t-59,,,,,
55591344,MmlD,B800t-59,,,,,
55591353,MmlD,B800t-59,,,,,
55720553,SpgStd,B800t-60,,,,,
55720541,SpgStd,B800t-60,,,,,
55723399,SpgSnd,B800t-60,,,,,
55723404,SpgSnd,B800t-60,,,,,
