deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55803783,13:25:00,13:25:00,,1,,47800
55803783,13:40:00,13:40:00,17863,2,,
55803784,10:10:00,10:10:00,6551,1,,
55803784,10:23:00,10:23:00,,2,,47800
55803785,16:31:00,16:31:00,323,1,,
55803785,16:51:00,16:51:00,,2,,47800
55803786,19:41:00,19:41:00,29001,1,,
55803786,19:57:00,19:57:00,,2,,47800
55803787,14:39:00,14:39:00,,1,,47800
55803787,15:10:00,15:10:00,7724,2,,
55803788,19:43:00,19:43:00,903,1,,
55803788,20:02:00,20:02:00,,2,,47800
55803789,15:38:00,15:38:00,,1,,47800
55803789,15:51:00,15:51:00,175,2,,
55803790,19:56:00,19:56:00,903,1,,
55803790,20:15:00,20:15:00,,2,,47800
55803791,16:11:00,16:11:00,,1,,47800
55803791,16:30:00,16:30:00,8178,2,,
55803792,19:52:00,19:52:00,8178,1,,
55803792,20:15:00,20:15:00,,2,,47800
55803793,10:38:00,10:38:00,,1,,47800
55803793,10:55:00,10:55:00,8178,2,,
55803794,13:15:00,13:15:00,,1,,47800
55803794,13:30:00,13:30:00,899,2,,
55803795,16:35:00,16:35:00,,1,,47800
55803795,16:50:00,16:50:00,903,2,,
55803796,13:20:00,13:20:00,,1,,47800
55803796,13:40:00,13:40:00,323,2,,
55803797,21:20:00,21:20:00,178,1,,
55803797,21:29:00,21:29:00,,2,,47800
55803798,21:18:00,21:18:00,17861,1,,
55803798,21:31:00,21:31:00,,2,,47800
55803799,13:19:00,13:19:00,,1,,47800
55803799,13:30:00,13:30:00,178,2,,
55803800,15:50:00,15:50:00,,1,,47800
55803800,16:05:00,16:05:00,903,2,,
55803801,09:09:00,09:09:00,899,1,,
55803801,09:25:00,09:25:00,,2,,47800
55803802,08:31:00,08:31:00,899,1,,
55803802,08:47:00,08:47:00,,2,,47800
55803803,15:40:00,15:40:00,,1,,47800
55803803,15:50:00,15:50:00,31255,2,,
55803804,09:36:00,09:36:00,8178,1,,
55803804,09:59:00,09:59:00,,2,,47800
55803805,05:37:00,05:37:00,,1,,47800
55803805,05:58:00,05:58:00,1026,2,,
55803806,06:29:00,06:29:00,,1,,47800
55803806,06:50:00,06:50:00,1026,2,,
55803807,08:27:00,08:27:00,899,1,,
55803807,08:43:00,08:43:00,,2,,47800
55803808,05:59:00,05:59:00,,1,,47800
55803808,06:20:00,06:20:00,994,2,,
55803809,06:15:00,06:15:00,,1,,47800
55803809,06:25:00,06:25:00,17863,2,,
55803810,09:15:00,09:15:00,17862,1,,
55803810,09:28:00,09:28:00,,2,,47800
55803811,06:43:00,06:43:00,,1,,47800
55803811,06:59:00,06:59:00,900,2,,
55803812,09:36:00,09:36:00,899,1,,
55803812,09:52:00,09:52:00,,2,,47800
55803813,06:49:00,06:49:00,,1,,47800
55803813,07:00:00,07:00:00,178,2,,
55803814,19:49:00,19:49:00,899,1,,
55803814,20:05:00,20:05:00,,2,,47800
55803815,19:48:00,19:48:00,323,1,,
55803815,20:08:00,20:08:00,,2,,47800
55803816,13:08:00,13:08:00,,1,,47800
55803816,13:25:00,13:25:00,8178,2,,
