pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
cntsq-041,node-cntsq-essexstair-fareunpaid,node-cntsq-essexstair-platform,,1,0,6.0960000,6.0960000,,,,,Unpaid side of fare gates to Bottom of stairs for Essex St,,Essex Street,
cntsq-042,node-cntsq-obstair-fareunpaid,node-cntsq-obstair-platform,,1,0,15.8496000,15.8496000,,,,,Unpaid side of fare gates to Bottom of stairs for Massachusetts Ave,,To buses,
cntsq-043,node-cntsq-obstair-fareunpaid,node-cntsq-860-platform,,1,0,6.0960000,6.0960000,,,,,Unpaid side of fare gates to Bottom of Elevator 860 for Massachusetts Ave,,Elevator,
cntsq-044,node-cntsq-obstair-fareunpaid,node-cntsq-360-platform,,1,0,7.6200000,7.6200000,,,,,Unpaid side of fare gates to Bottom of Escalator 360 for Massachusetts Ave,,Escalator,
cntsq-045,node-cntsq-prospectstair-fareunpaid,node-cntsq-prospectstair-platform,,1,0,4.8768000,4.8768000,,,,,Unpaid side of fare gates to Bottom of stairs for Prospect St,,Prospect Street,
cntsq-046,node-cntsq-westernstair-platform,node-cntsq-westernstair-fareunpaid,,1,0,3.9624000,3.9624000,,,,,Bottom of stairs for Western Ave to Unpaid side of fare gates,,Red Line - Inbound,
cntsq-047,node-cntsq-ibstair-platform,node-cntsq-ibstair-fareunpaid,,1,0,4.8768000,4.8768000,,,,,Bottom of stairs for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Inbound,
cntsq-048,node-cntsq-861-platform,node-cntsq-ibstair-fareunpaid,,1,0,7.9248000,7.9248000,,,,,Bottom of Elevator 861 for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Inbound,
cntsq-049,node-cntsq-359-platform,node-cntsq-ibstair-fareunpaid,,1,0,15.2400000,15.2400000,,,,,Bottom of Escalator 359 for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Inbound,
cntsq-050,node-cntsq-pearlstair-platform,node-cntsq-pearlstair-fareunpaid,,1,0,4.8768000,4.8768000,,,,,Bottom of stairs for Pearl St to Unpaid side of fare gates,,Red Line - Inbound,
cntsq-051,node-cntsq-westernstair-fareunpaid,node-cntsq-westernstair-platform,,1,0,3.9624000,3.9624000,,,,,Unpaid side of fare gates to Bottom of stairs for Western Ave,,Western Avenue,
cntsq-052,node-cntsq-ibstair-fareunpaid,node-cntsq-ibstair-platform,,1,0,4.8768000,4.8768000,,,,,Unpaid side of fare gates to Bottom of stairs for Massachusetts Ave,,To buses,
cntsq-053,node-cntsq-ibstair-fareunpaid,node-cntsq-861-platform,,1,0,7.9248000,7.9248000,,,,,Unpaid side of fare gates to Bottom of Elevator 861 for Massachusetts Ave,,Elevator,
cntsq-054,node-cntsq-ibstair-fareunpaid,node-cntsq-359-platform,,1,0,15.2400000,15.2400000,,,,,Unpaid side of fare gates to Bottom of Escalator 359 for Massachusetts Ave,,Escalator,
cntsq-055,node-cntsq-pearlstair-fareunpaid,node-cntsq-pearlstair-platform,,1,0,4.8768000,4.8768000,,,,,Unpaid side of fare gates to Bottom of stairs for Pearl St,,Pearl Street,
cntsq-056,node-cntsq-westernstair-fareunpaid,node-cntsq-westernstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
cntsq-057,node-cntsq-ibstair-fareunpaid,node-cntsq-ibstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
cntsq-058,node-cntsq-pearlstair-fareunpaid,node-cntsq-pearlstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
cntsq-059,node-cntsq-essexstair-fareunpaid,node-cntsq-essexstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
cntsq-060,node-cntsq-obstair-fareunpaid,node-cntsq-obstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
