"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"441-1054","1","44",,,3,,"FFFF7C","000000"
"4416-1054","1","441W",,,3,,"FFFF7C","000000"
"4417-1054","1","441W",,,3,,"FFFF7C","000000"
"4419-1054","1","441",,,3,,"FFFF7C","000000"
"442_-1054","1","442",,,3,,"FFFF7C","000000"
"442-1054","1","44",,,3,,"FFFF7C","000000"
"4421-1054","1","442",,,3,,"FFFF7C","000000"
"4426-1054","1","442W",,,3,,"FFFF7C","000000"
"4427-1054","1","442",,,3,,"FFFF7C","000000"
"4429-1054","1","442",,,3,,"FFFF7C","000000"
"448_-1054","1","448",,,3,,"FFFF7C","000000"
"4481-1054","1","448",,,3,,"FFFF7C","000000"
"449_-1054","1","449",,,3,,"FFFF7C","000000"
"4491-1054","1","449",,,3,,"FFFF7C","000000"
"45_-1054","1","45",,,3,,"FFFF7C","000000"
"450_-1054","1","450",,,3,,"FFFF7C","000000"
"4506-1054","1","450W",,,3,,"FFFF7C","000000"
"4507-1054","1","450W",,,3,,"FFFF7C","000000"
"4508-1054","1","450",,,3,,"FFFF7C","000000"
"4509-1054","1","450",,,3,,"FFFF7C","000000"
"451_-1054","1","451",,,3,,"FFFF7C","000000"
"451-1054","1","45",,,3,,"FFFF7C","000000"
"4511-1054","1","451",,,3,,"FFFF7C","000000"
"4512-1054","1","451",,,3,,"FFFF7C","000000"
"452-1054","1","45",,,3,,"FFFF7C","000000"
"455_-1054","1","455",,,3,,"FFFF7C","000000"
"4551-1054","1","455",,,3,,"FFFF7C","000000"
"4552-1054","1","455",,,3,,"FFFF7C","000000"
"4553-1054","1","455",,,3,,"FFFF7C","000000"
"4554-1054","1","455",,,3,,"FFFF7C","000000"
"4555-1054","1","455W",,,3,,"FFFF7C","000000"
"4556-1054","1","455W",,,3,,"FFFF7C","000000"
"4557-1054","1","455W",,,3,,"FFFF7C","000000"
"4558-1054","1","455",,,3,,"FFFF7C","000000"
"4559-1054","1","455",,,3,,"FFFF7C","000000"
"456_-1054","1","456",,,3,,"FFFF7C","000000"
"4569-1054","1","456",,,3,,"FFFF7C","000000"
"459_-1054","1","459",,,3,,"FFFF7C","000000"
"465_-1054","1","465",,,3,,"FFFF7C","000000"
"468_-1054","1","468",,,3,,"FFFF7C","000000"
"473-1054","1","47",,,3,,"FFFF7C","000000"
"478-1054","1","47",,,3,,"FFFF7C","000000"
"48_-1054","1","48",,,3,,"FFFF7C","000000"
"50_-1054","1","50",,,3,,"FFFF7C","000000"
"500_-1054","1","500",,,3,,"FFFF7C","000000"
"501_-1054","1","501",,,3,,"FFFF7C","000000"
"5011-1054","1","501",,,3,,"FFFF7C","000000"
"5012-1054","1","501",,,3,,"FFFF7C","000000"
"5013-1054","1","501",,,3,,"FFFF7C","000000"
"502_-1054","1","502",,,3,,"FFFF7C","000000"
"503_-1054","1","503",,,3,,"FFFF7C","000000"
"5031-1054","1","503",,,3,,"FFFF7C","000000"
"504_-1054","1","504",,,3,,"FFFF7C","000000"
"5042-1054","1","504",,,3,,"FFFF7C","000000"
"505_-1054","1","505",,,3,,"FFFF7C","000000"
"5051-1054","1","505",,,3,,"FFFF7C","000000"
"51_-1054","1","51",,,3,,"FFFF7C","000000"
"511-1054","1","511",,,3,,"FFFF7C","000000"
"519-1054","1","519",,,3,,"FFFF7C","000000"
"52_-1054","1","52",,,3,,"FFFF7C","000000"
"521-1054","1","521",,,3,,"FFFF7C","000000"
"523-1054","1","523",,,3,,"FFFF7C","000000"
"524-1054","1","524",,,3,,"FFFF7C","000000"
"525-1054","1","525",,,3,,"FFFF7C","000000"
"526-1054","1","526",,,3,,"FFFF7C","000000"
"527-1054","1","527",,,3,,"FFFF7C","000000"
"528-1054","1","528",,,3,,"FFFF7C","000000"
"55_-1054","1","55",,,3,,"FFFF7C","000000"
"551-1054","1","551",,,3,,"FFFF7C","000000"
"553_-1054","1","553",,,3,,"FFFF7C","000000"
"5537-1054","1","553",,,3,,"FFFF7C","000000"
"554_-1054","1","554",,,3,,"FFFF7C","000000"
"5542-1054","1","554",,,3,,"FFFF7C","000000"
"5547-1054","1","554",,,3,,"FFFF7C","000000"
"555_-1054","1","555",,,3,,"FFFF7C","000000"
"556_-1054","1","556",,,3,,"FFFF7C","000000"
"5567-1054","1","556",,,3,,"FFFF7C","000000"
"558_-1054","1","558",,,3,,"FFFF7C","000000"
"5587-1054","1","558",,,3,,"FFFF7C","000000"
"57_-1054","1","57",,,3,,"FFFF7C","000000"
"571-1054","1","57",,,3,,"FFFF7C","000000"
"572-1054","1","57",,,3,,"FFFF7C","000000"
"573-1054","1","57",,,3,,"FFFF7C","000000"
"574-1054","1","57",,,3,,"FFFF7C","000000"
"575-1054","1","57",,,3,,"FFFF7C","000000"
"578-1054","1","57",,,3,,"FFFF7C","000000"
